ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
US25714WBG78,DRGB 11.50% 2034-01-11 USD,11.50% BD REDEEM 11/01/2034 USD - 144A,107.772,10.120944,11.5,Government,2034-01-11,Dominican Republic,,USD,2019-01-11T00:00:00Z,2025-06-05T00:00:00Z,Active
US25714RDA95,DRGB 12.00% 2025-10-03 USD,12% NT REDEEM 03/10/2025 USD - 144A,99.283,14.181156,12.0,Government,2025-10-03,Dominican Republic,N,USD,2022-10-03T00:00:00Z,2025-06-05T00:00:00Z,Active
XS2543286004,DRGB 12.00% 2025-10-03 USD,12% BD REDEEM 03/10/2025 USD 1000 - Reg S,99.283,14.181156,12.0,Government,2025-10-03,Dominican Republic,,USD,2022-10-03T00:00:00Z,2025-06-05T00:00:00Z,Active
US25714PDZ80,DRGB 6.00% 2028-07-19 USD,6% NT REDEEM 19/07/2028 USD 150000 - 144A,101.006,5.641307,6.0,Government,2028-07-19,Dominican Republic,Y,USD,2018-07-19T00:00:00Z,2025-06-05T00:00:00Z,Active
USP3579ECB13,DRGB 6.00% 2028-07-19 USD,6% NT REDEEM 19/07/2028 USD 150000 - Reg S,101.006,5.641307,6.0,Government,2028-07-19,Dominican Republic,Y,USD,2018-07-19T00:00:00Z,2025-06-05T00:00:00Z,Active
DO1005207415,DRGB 11.38% 2040-01-06 DOP,11.375% BD REDEEM 06/01/2040 DOP 100000,105.856,10.575728,11.375,Government,2040-01-06,Dominican Republic,,DOP,2020-03-06T00:00:00Z,2025-06-05T00:00:00Z,Active
US25714RCZ55,DRGB 12.00% 2025-08-08 USD,12% BD REDEEM 08/08/2025 USD - 144A,99.775,13.087174,12.0,Government,2025-08-08,Dominican Republic,N,USD,2022-08-08T00:00:00Z,2025-06-05T00:00:00Z,Active
XS2520374625,DRGB 12.00% 2025-08-08 DOP,12% BD REDEEM 08/08/2025 DOP 10000 - Reg S,99.775,13.087174,12.0,Government,2025-08-08,Dominican Republic,,DOP,2022-08-08T00:00:00Z,2025-06-05T00:00:00Z,Active
DO1005206516,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000,102.674,9.733543,10.75,Government,2028-08-11,Dominican Republic,N,DOP,2018-08-10T00:00:00Z,2025-06-05T00:00:00Z,Active
XS1865319815,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000 - Bearer,102.674,9.733579,10.75,Government,2028-08-11,Dominican Republic,,DOP,2018-08-10T00:00:00Z,2025-06-05T00:00:00Z,Active
DO1005205310,DRGB 11.00% 2026-11-06 DOP,11% BD REDEEM 06/11/2026 DOP 100000,101.765,9.62291,11.0,Government,2026-11-06,Dominican Republic,N,DOP,2016-05-06T00:00:00Z,2025-06-05T00:00:00Z,Active
US25714WAG87,DRGB 11.00% 2026-11-06 USD,11% BD REDEEM 06/11/2026 USD - 144A,101.764,9.623832,11.0,Government,2026-11-06,Dominican Republic,N,USD,2016-05-03T00:00:00Z,2025-06-05T00:00:00Z,Active
XS1410454406,DRGB 11.00% 2026-11-06 USD,11% NT REDEEM 06/11/2026 USD 100000,101.764,9.623832,11.0,Government,2026-11-06,Dominican Republic,N,USD,2016-05-06T00:00:00Z,2025-06-05T00:00:00Z,Active
