ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,102.02,9.292495,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,27.147
US283875CD23,ELSALV 0.25% 2030-04-17 USD,FXDVR NT REDEEM 17/04/2030 USD 150000 - 144A,93.912,2.096054,0.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.903
USP5015VAG16,GUATEM 4.38% 2027-06-05 USD,4.375% NT REDEEM 05/06/2027 USD 200000 - Reg S,97.998,5.415652,4.375,Government,2027-06-05,Guatemala,N,USD,2017-06-05T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.036
US401494AP46,GUATEM 4.38% 2027-06-05 USD,4.375% NT REDEEM 05/06/2027 USD 200000 - Reg 144A,97.998,5.415652,4.375,Government,2027-06-05,Guatemala,N,USD,2017-06-05T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.036
USP5015VAF33,GUATEM 4.50% 2026-05-03 USD,4.50% NT REDEEM 03/05/2026 USD 200000 - Reg S,98.89,5.694507,4.5,Government,2026-05-03,Guatemala,N,USD,2016-05-03T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,0.947
US401494AN97,GUATEM 4.50% 2026-05-03 USD,4.50% BD REDEEM 03/05/2026 USD 200000 - 144A,98.89,5.694507,4.5,Government,2026-05-03,Guatemala,N,USD,2016-05-03T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,0.947
USP5015VAP15,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - Reg S,98.618,5.618706,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.217
US401494AV14,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - 144A,98.618,5.618706,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.217
USP5015VAE67,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - Reg S,98.345,5.529831,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.725
US401494AF63,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - 144A,98.345,5.529831,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.725
USP5015VAH98,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - Reg S,96.515,5.884264,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,5.025
US401494AQ29,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - 144A,96.515,5.884264,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,5.025
USP5015VAQ97,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 1000 - Reg S,99.822,6.624435,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,11.058
